,windows_run_0,window_mean
763,399.0,399.0
764,399.0,399.0
765,399.0,399.0
766,399.0,399.0
767,399.0,399.0
768,399.0,399.0
769,399.0,399.0
770,399.0,399.0
771,399.0,399.0
772,399.0,399.0
773,399.0,399.0
774,399.0,399.0
775,399.0,399.0
776,399.0,399.0
777,399.0,399.0
778,399.0,399.0
779,399.0,399.0
780,399.0,399.0
781,399.0,399.0
782,399.0,399.0
783,399.0,399.0
784,399.0,399.0
785,399.0,399.0
786,399.0,399.0
787,399.0,399.0
788,399.0,399.0
789,399.0,399.0
790,399.0,399.0
791,399.0,399.0
792,399.0,399.0
793,399.0,399.0
794,399.0,399.0
795,399.0,399.0
796,399.0,399.0
797,399.0,399.0
798,565.0,565.0
799,565.0,565.0
800,565.0,565.0
801,565.0,565.0
802,565.0,565.0
803,399.0,399.0
804,565.0,565.0
805,399.0,399.0
806,399.0,399.0
807,565.0,565.0
808,565.0,565.0
809,399.0,399.0
810,399.0,399.0
811,399.0,399.0
812,399.0,399.0
813,565.0,565.0
814,565.0,565.0
815,399.0,399.0
816,399.0,399.0
817,565.0,565.0
818,399.0,399.0
819,565.0,565.0
820,399.0,399.0
821,399.0,399.0
822,399.0,399.0
823,399.0,399.0
824,565.0,565.0
825,399.0,399.0
826,565.0,565.0
827,565.0,565.0
828,399.0,399.0
829,565.0,565.0
830,565.0,565.0
831,565.0,565.0
832,399.0,399.0
833,565.0,565.0
834,565.0,565.0
835,565.0,565.0
836,565.0,565.0
837,565.0,565.0
838,565.0,565.0
839,565.0,565.0
840,565.0,565.0
841,565.0,565.0
842,565.0,565.0
843,565.0,565.0
844,565.0,565.0
845,565.0,565.0
846,565.0,565.0
847,565.0,565.0
848,565.0,565.0
849,565.0,565.0
850,565.0,565.0
851,565.0,565.0
852,565.0,565.0
853,565.0,565.0
854,565.0,565.0
855,565.0,565.0
856,565.0,565.0
857,565.0,565.0
858,565.0,565.0
859,565.0,565.0
860,565.0,565.0
861,565.0,565.0
862,565.0,565.0
863,565.0,565.0
864,565.0,565.0
865,565.0,565.0
866,565.0,565.0
867,565.0,565.0
868,565.0,565.0
869,565.0,565.0
870,565.0,565.0
871,565.0,565.0
872,565.0,565.0
873,565.0,565.0
874,565.0,565.0
875,565.0,565.0
876,565.0,565.0
877,565.0,565.0
878,565.0,565.0
879,565.0,565.0
880,565.0,565.0
881,565.0,565.0
882,565.0,565.0
883,565.0,565.0
884,565.0,565.0
885,565.0,565.0
886,565.0,565.0
887,565.0,565.0
888,565.0,565.0
889,565.0,565.0
890,565.0,565.0
891,565.0,565.0
892,565.0,565.0
893,565.0,565.0
894,565.0,565.0
895,565.0,565.0
896,565.0,565.0
897,565.0,565.0
898,565.0,565.0
899,565.0,565.0
900,565.0,565.0
901,565.0,565.0
902,565.0,565.0
903,565.0,565.0
904,565.0,565.0
905,565.0,565.0
906,565.0,565.0
907,565.0,565.0
908,565.0,565.0
909,565.0,565.0
910,565.0,565.0
911,565.0,565.0
912,565.0,565.0
913,565.0,565.0
914,565.0,565.0
915,565.0,565.0
916,565.0,565.0
917,565.0,565.0
918,565.0,565.0
919,565.0,565.0
920,565.0,565.0
921,565.0,565.0
922,565.0,565.0
923,565.0,565.0
924,565.0,565.0
925,565.0,565.0
926,565.0,565.0
927,565.0,565.0
928,565.0,565.0
929,565.0,565.0
930,565.0,565.0
931,565.0,565.0
932,565.0,565.0
933,565.0,565.0
934,565.0,565.0
935,565.0,565.0
936,565.0,565.0
937,565.0,565.0
938,565.0,565.0
939,565.0,565.0
940,565.0,565.0
941,565.0,565.0
942,565.0,565.0
943,565.0,565.0
944,565.0,565.0
945,565.0,565.0
946,565.0,565.0
947,565.0,565.0
948,565.0,565.0
949,565.0,565.0
950,565.0,565.0
951,565.0,565.0
952,565.0,565.0
953,565.0,565.0
954,565.0,565.0
955,565.0,565.0
956,565.0,565.0
957,565.0,565.0
958,565.0,565.0
959,565.0,565.0
960,565.0,565.0
961,565.0,565.0
962,565.0,565.0
963,565.0,565.0
964,565.0,565.0
965,565.0,565.0
966,565.0,565.0
967,565.0,565.0
968,565.0,565.0
969,565.0,565.0
970,565.0,565.0
971,565.0,565.0
972,565.0,565.0
973,565.0,565.0
974,565.0,565.0
975,565.0,565.0
976,565.0,565.0
977,565.0,565.0
978,565.0,565.0
979,565.0,565.0
980,565.0,565.0
981,565.0,565.0
982,565.0,565.0
983,565.0,565.0
984,565.0,565.0
985,565.0,565.0
986,565.0,565.0
987,565.0,565.0
988,565.0,565.0
989,565.0,565.0
990,565.0,565.0
991,565.0,565.0
992,565.0,565.0
993,565.0,565.0
994,565.0,565.0
995,565.0,565.0
996,565.0,565.0
997,565.0,565.0
998,565.0,565.0
999,141.0,141.0
1000,141.0,141.0
1001,141.0,141.0
1002,565.0,565.0
1003,565.0,565.0
1004,565.0,565.0
1005,565.0,565.0
