windows_run_0,windows_run_1,window_mean
375,100,237.5
100,475,287.5
150,100,125.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
250,50,150.0
100,100,100.0
175,500,337.5
100,375,237.5
650,500,575.0
175,75,125.0
50,50,50.0
100,100,100.0
375,125,250.0
575,50,312.5
525,150,337.5
125,125,125.0
525,575,550.0
575,525,550.0
525,125,325.0
525,125,325.0
225,600,412.5
525,125,325.0
550,200,375.0
125,475,300.0
475,550,512.5
125,125,125.0
125,475,300.0
100,525,312.5
125,475,300.0
150,100,125.0
425,425,425.0
425,475,450.0
625,50,337.5
550,150,350.0
550,225,387.5
225,200,212.5
50,100,75.0
100,550,325.0
150,550,350.0
500,150,325.0
150,150,150.0
400,450,425.0
500,625,562.5
150,700,425.0
725,500,612.5
550,150,350.0
550,600,575.0
50,150,100.0
500,550,525.0
375,550,462.5
500,625,562.5
575,250,412.5
575,125,350.0
650,575,612.5
500,550,525.0
75,250,162.5
75,500,287.5
125,525,325.0
575,75,325.0
475,75,275.0
100,600,350.0
525,175,350.0
675,225,450.0
575,250,412.5
250,125,187.5
575,525,550.0
575,175,375.0
525,475,500.0
300,550,425.0
825,100,462.5
475,525,500.0
75,75,75.0
100,550,325.0
400,525,462.5
525,575,550.0
125,525,325.0
275,275,275.0
600,575,587.5
700,100,400.0
650,550,600.0
125,600,362.5
150,100,125.0
600,100,350.0
150,100,125.0
825,150,487.5
100,100,100.0
150,500,325.0
150,600,375.0
100,100,100.0
100,150,125.0
150,450,300.0
150,150,150.0
150,150,150.0
625,625,625.0
300,100,200.0
625,150,387.5
575,475,525.0
600,550,575.0
600,150,375.0
425,625,525.0
200,100,150.0
600,200,400.0
175,300,237.5
525,575,550.0
300,150,225.0
175,175,175.0
150,100,125.0
125,150,137.5
150,225,187.5
150,150,150.0
150,150,150.0
150,225,187.5
150,150,150.0
150,225,187.5
125,150,137.5
100,350,225.0
150,150,150.0
150,225,187.5
150,150,150.0
150,150,150.0
100,100,100.0
100,150,125.0
150,100,125.0
150,150,150.0
150,150,150.0
75,150,112.5
100,75,87.5
100,75,87.5
75,100,87.5
150,75,112.5
100,75,87.5
100,100,100.0
75,75,75.0
100,75,87.5
75,100,87.5
100,100,100.0
75,75,75.0
100,75,87.5
100,100,100.0
100,100,100.0
100,100,100.0
75,100,87.5
100,150,125.0
75,75,75.0
100,100,100.0
100,100,100.0
100,100,100.0
75,100,87.5
100,100,100.0
100,100,100.0
100,100,100.0
150,100,125.0
100,100,100.0
75,100,87.5
100,100,100.0
75,100,87.5
100,100,100.0
100,75,87.5
75,100,87.5
100,75,87.5
100,100,100.0
100,125,112.5
100,100,100.0
100,75,87.5
100,100,100.0
100,100,100.0
100,100,100.0
175,175,175.0
175,100,137.5
175,100,137.5
175,175,175.0
175,100,137.5
100,100,100.0
100,100,100.0
125,100,112.5
125,125,125.0
125,125,125.0
125,125,125.0
125,125,125.0
125,200,162.5
100,200,150.0
200,125,162.5
150,125,137.5
125,150,137.5
150,200,175.0
100,200,150.0
150,125,137.5
200,125,162.5
150,150,150.0
200,200,200.0
150,150,150.0
225,200,212.5
200,275,237.5
200,150,175.0
400,250,325.0
225,300,262.5
125,175,150.0
200,150,175.0
225,225,225.0
150,150,150.0
150,275,212.5
150,225,187.5
175,150,162.5
225,225,225.0
225,250,237.5
150,225,187.5
175,175,175.0
175,275,225.0
225,225,225.0
225,150,187.5
150,50,100.0
150,225,187.5
150,225,187.5
225,150,187.5
175,175,175.0
225,175,200.0
300,150,225.0
225,300,262.5
250,175,212.5
175,150,162.5
225,150,187.5
250,175,212.5
400,175,287.5
225,250,237.5
175,175,175.0
150,250,200.0
225,250,237.5
225,200,212.5
175,175,175.0
150,150,150.0
250,150,200.0
150,200,175.0
250,250,250.0
300,250,275.0
175,250,212.5
275,200,237.5
200,300,250.0
200,300,250.0
425,300,362.5
200,275,237.5
300,200,250.0
300,250,275.0
175,275,225.0
325,650,487.5
300,275,287.5
300,750,525.0
