,windows_run_0,window_mean
884,599.0,599.0
885,424.0,424.0
886,424.0,424.0
887,424.0,424.0
888,424.0,424.0
889,424.0,424.0
890,599.0,599.0
891,599.0,599.0
892,424.0,424.0
893,599.0,599.0
894,424.0,424.0
895,599.0,599.0
896,424.0,424.0
897,599.0,599.0
898,599.0,599.0
899,424.0,424.0
900,424.0,424.0
901,599.0,599.0
902,599.0,599.0
903,599.0,599.0
904,599.0,599.0
905,424.0,424.0
906,599.0,599.0
907,424.0,424.0
908,599.0,599.0
909,599.0,599.0
910,599.0,599.0
911,599.0,599.0
912,599.0,599.0
913,599.0,599.0
914,599.0,599.0
915,599.0,599.0
916,599.0,599.0
917,424.0,424.0
918,424.0,424.0
919,599.0,599.0
920,424.0,424.0
921,599.0,599.0
922,599.0,599.0
923,424.0,424.0
924,424.0,424.0
925,424.0,424.0
926,599.0,599.0
927,599.0,599.0
928,599.0,599.0
929,599.0,599.0
930,599.0,599.0
931,599.0,599.0
932,424.0,424.0
933,424.0,424.0
934,599.0,599.0
935,599.0,599.0
936,424.0,424.0
937,424.0,424.0
938,599.0,599.0
939,599.0,599.0
940,424.0,424.0
941,599.0,599.0
942,599.0,599.0
943,599.0,599.0
944,424.0,424.0
945,599.0,599.0
946,599.0,599.0
947,599.0,599.0
948,424.0,424.0
949,599.0,599.0
950,599.0,599.0
951,599.0,599.0
952,599.0,599.0
953,599.0,599.0
954,599.0,599.0
955,599.0,599.0
956,599.0,599.0
957,599.0,599.0
958,599.0,599.0
959,599.0,599.0
960,599.0,599.0
961,599.0,599.0
962,599.0,599.0
963,599.0,599.0
964,599.0,599.0
965,599.0,599.0
966,599.0,599.0
967,599.0,599.0
968,599.0,599.0
969,599.0,599.0
970,599.0,599.0
971,599.0,599.0
972,599.0,599.0
973,599.0,599.0
974,599.0,599.0
975,599.0,599.0
976,599.0,599.0
977,599.0,599.0
978,599.0,599.0
979,599.0,599.0
980,599.0,599.0
981,599.0,599.0
982,599.0,599.0
983,599.0,599.0
984,599.0,599.0
985,599.0,599.0
986,599.0,599.0
987,599.0,599.0
988,599.0,599.0
989,599.0,599.0
990,599.0,599.0
991,599.0,599.0
992,599.0,599.0
993,599.0,599.0
994,599.0,599.0
995,599.0,599.0
996,599.0,599.0
997,599.0,599.0
998,599.0,599.0
999,599.0,599.0
1000,599.0,599.0
1001,599.0,599.0
1002,599.0,599.0
1003,599.0,599.0
1004,599.0,599.0
1005,599.0,599.0
1006,599.0,599.0
1007,599.0,599.0
1008,599.0,599.0
1009,599.0,599.0
1010,599.0,599.0
1011,599.0,599.0
1012,599.0,599.0
1013,599.0,599.0
1014,599.0,599.0
1015,599.0,599.0
1016,599.0,599.0
1017,599.0,599.0
1018,599.0,599.0
1019,599.0,599.0
1020,599.0,599.0
1021,599.0,599.0
1022,599.0,599.0
1023,599.0,599.0
1024,599.0,599.0
1025,599.0,599.0
1026,599.0,599.0
1027,599.0,599.0
1028,599.0,599.0
1029,599.0,599.0
1030,599.0,599.0
1031,599.0,599.0
1032,599.0,599.0
1033,599.0,599.0
1034,599.0,599.0
1035,599.0,599.0
1036,599.0,599.0
1037,599.0,599.0
1038,599.0,599.0
1039,599.0,599.0
1040,599.0,599.0
1041,599.0,599.0
1042,599.0,599.0
1043,599.0,599.0
1044,599.0,599.0
1045,599.0,599.0
1046,599.0,599.0
1047,599.0,599.0
1048,599.0,599.0
1049,599.0,599.0
1050,599.0,599.0
1051,599.0,599.0
1052,599.0,599.0
1053,599.0,599.0
1054,599.0,599.0
1055,599.0,599.0
1056,599.0,599.0
1057,599.0,599.0
1058,599.0,599.0
1059,599.0,599.0
1060,599.0,599.0
1061,599.0,599.0
1062,599.0,599.0
1063,599.0,599.0
1064,599.0,599.0
1065,599.0,599.0
1066,599.0,599.0
1067,599.0,599.0
1068,599.0,599.0
1069,599.0,599.0
1070,599.0,599.0
1071,599.0,599.0
1072,599.0,599.0
1073,599.0,599.0
1074,599.0,599.0
1075,599.0,599.0
1076,599.0,599.0
1077,599.0,599.0
1078,599.0,599.0
1079,599.0,599.0
1080,599.0,599.0
1081,599.0,599.0
1082,599.0,599.0
1083,599.0,599.0
1084,599.0,599.0
1085,599.0,599.0
1086,599.0,599.0
1087,599.0,599.0
1088,599.0,599.0
1089,599.0,599.0
1090,599.0,599.0
1091,599.0,599.0
1092,599.0,599.0
1093,599.0,599.0
1094,599.0,599.0
1095,599.0,599.0
1096,599.0,599.0
1097,599.0,599.0
1098,424.0,424.0
1099,599.0,599.0
1100,299.0,299.0
1101,212.0,212.0
1102,599.0,599.0
1103,599.0,599.0
1104,299.0,299.0
1105,212.0,212.0
1106,212.0,212.0
1107,599.0,599.0
1108,599.0,599.0
1109,599.0,599.0
1110,212.0,212.0
1111,599.0,599.0
1112,212.0,212.0
1113,299.0,299.0
1114,599.0,599.0
1115,599.0,599.0
1116,212.0,212.0
1117,599.0,599.0
1118,599.0,599.0
1119,599.0,599.0
1120,424.0,424.0
1121,599.0,599.0
1122,599.0,599.0
1123,424.0,424.0
1124,599.0,599.0
1125,599.0,599.0
1126,424.0,424.0
1127,212.0,212.0
1128,424.0,424.0
1129,599.0,599.0
1130,212.0,212.0
1131,424.0,424.0
1132,599.0,599.0
1133,599.0,599.0
1134,424.0,424.0
1135,424.0,424.0
1136,599.0,599.0
1137,599.0,599.0
1138,599.0,599.0
1139,424.0,424.0
1140,599.0,599.0
1141,599.0,599.0
1142,599.0,599.0
1143,599.0,599.0
1144,424.0,424.0
1145,599.0,599.0
1146,424.0,424.0
1147,424.0,424.0
1148,599.0,599.0
1149,212.0,212.0
1150,424.0,424.0
1151,212.0,212.0
1152,424.0,424.0
1153,599.0,599.0
1154,424.0,424.0
1155,599.0,599.0
1156,599.0,599.0
1157,299.0,299.0
1158,424.0,424.0
1159,424.0,424.0
1160,599.0,599.0
1161,212.0,212.0
1162,299.0,299.0
1163,599.0,599.0
1164,424.0,424.0
1165,599.0,599.0
1166,599.0,599.0
1167,599.0,599.0
1168,299.0,299.0
1169,424.0,424.0
1170,424.0,424.0
1171,424.0,424.0
1172,599.0,599.0
1173,424.0,424.0
1174,424.0,424.0
1175,212.0,212.0
1176,599.0,599.0
1177,599.0,599.0
1178,424.0,424.0
1179,299.0,299.0
1180,424.0,424.0
1181,299.0,299.0
1182,599.0,599.0
1183,599.0,599.0
1184,599.0,599.0
1185,599.0,599.0
1186,599.0,599.0
1187,424.0,424.0
1188,424.0,424.0
1189,424.0,424.0
1190,599.0,599.0
1191,424.0,424.0
1192,599.0,599.0
1193,599.0,599.0
1194,424.0,424.0
1195,424.0,424.0
1196,424.0,424.0
1197,599.0,599.0
1198,424.0,424.0
1199,424.0,424.0
1200,424.0,424.0
1201,424.0,424.0
1202,848.0,848.0
1203,848.0,848.0
1204,599.0,599.0
1205,424.0,424.0
1206,424.0,424.0
1207,599.0,599.0
1208,599.0,599.0
1209,424.0,424.0
1210,424.0,424.0
1211,599.0,599.0
1212,424.0,424.0
1213,424.0,424.0
1214,299.0,299.0
1215,212.0,212.0
1216,212.0,212.0
1217,299.0,299.0
1218,599.0,599.0
1219,212.0,212.0
1220,599.0,599.0
1221,299.0,299.0
1222,424.0,424.0
1223,424.0,424.0
1224,424.0,424.0
1225,424.0,424.0
1226,424.0,424.0
1227,424.0,424.0
1228,299.0,299.0
1229,599.0,599.0
1230,599.0,599.0
1231,599.0,599.0
1232,599.0,599.0
1233,424.0,424.0
1234,599.0,599.0
1235,599.0,599.0
1236,599.0,599.0
1237,599.0,599.0
1238,424.0,424.0
1239,599.0,599.0
1240,599.0,599.0
1241,599.0,599.0
1242,599.0,599.0
1243,212.0,212.0
1244,599.0,599.0
1245,599.0,599.0
1246,848.0,848.0
1247,424.0,424.0
1248,599.0,599.0
1249,424.0,424.0
1250,424.0,424.0
1251,599.0,599.0
1252,599.0,599.0
1253,599.0,599.0
1254,424.0,424.0
1255,599.0,599.0
1256,424.0,424.0
1257,424.0,424.0
1258,424.0,424.0
1259,424.0,424.0
1260,424.0,424.0
1261,424.0,424.0
1262,424.0,424.0
1263,424.0,424.0
1264,424.0,424.0
1265,212.0,212.0
1266,424.0,424.0
1267,424.0,424.0
1268,424.0,424.0
1269,424.0,424.0
1270,848.0,848.0
1271,599.0,599.0
1272,424.0,424.0
1273,424.0,424.0
1274,848.0,848.0
1275,424.0,424.0
1276,848.0,848.0
1277,424.0,424.0
1278,424.0,424.0
1279,599.0,599.0
1280,599.0,599.0
1281,599.0,599.0
1282,599.0,599.0
1283,848.0,848.0
1284,848.0,848.0
